timestamp,device_id,voltage,current,power,light_raw
2025-12-07T23:27:47,esp32-01,0,0.256,0,0
2025-12-07T23:27:49,esp32-01,0,0.282,0,0
2025-12-07T23:27:51,esp32-01,0,0.295,0,0
2025-12-07T23:27:53,esp32-01,0,0.269,0,0
2025-12-07T23:27:55,esp32-01,0,0.256,0,0
2025-12-07T23:27:57,esp32-01,0,0.282,0,0
2025-12-07T23:28:00,esp32-01,0,0.269,0,0
2025-12-07T23:28:02,esp32-01,0,0.295,0,0
2025-12-07T23:28:04,esp32-01,0,0.295,0,0
2025-12-07T23:28:06,esp32-01,0,0.269,0,0
2025-12-07T23:28:08,esp32-01,0,0.269,0,0
2025-12-07T23:28:10,esp32-01,0,0.282,0,0
2025-12-07T23:28:12,esp32-01,0,0.282,0,0
2025-12-07T23:28:14,esp32-01,0,0.282,0,0
2025-12-07T23:28:16,esp32-01,0,0.295,0,0
2025-12-07T23:28:18,esp32-01,0,0.256,0,0
2025-12-07T23:28:21,esp32-01,0,0.256,0,0
2025-12-07T23:28:23,esp32-01,0,0.282,0,0
2025-12-07T23:28:25,esp32-01,0,0.295,0,0
2025-12-07T23:28:27,esp32-01,0,0.282,0,0
2025-12-07T23:28:29,esp32-01,0,0.295,0,0
2025-12-07T23:28:31,esp32-01,0,0.295,0,0
2025-12-07T23:28:33,esp32-01,0,0.295,0,0
2025-12-07T23:28:35,esp32-01,0,0.308,0,0
2025-12-07T23:28:37,esp32-01,0,0.282,0,0
2025-12-07T23:28:39,esp32-01,0,0.295,0,0
2025-12-07T23:28:42,esp32-01,0,0.282,0,0
2025-12-07T23:28:44,esp32-01,0,0.269,0,0
2025-12-07T23:28:46,esp32-01,0,0.295,0,0
2025-12-07T23:28:48,esp32-01,0,0.269,0,0
2025-12-07T23:28:50,esp32-01,0,0.282,0,0
2025-12-07T23:28:52,esp32-01,0,0.282,0,0
2025-12-07T23:28:54,esp32-01,0,0.282,0,0
2025-12-07T23:28:56,esp32-01,0,0.295,0,0
2025-12-07T23:28:58,esp32-01,0,0.308,0,0
2025-12-07T23:29:00,esp32-01,0,0.282,0,0
2025-12-07T23:29:03,esp32-01,0,0.321,0,0
2025-12-07T23:29:05,esp32-01,0,0.295,0,0
2025-12-07T23:29:07,esp32-01,0,0.308,0,0
2025-12-07T23:29:09,esp32-01,0,0.282,0,0
2025-12-07T23:29:11,esp32-01,0,0.295,0,0
2025-12-07T23:29:13,esp32-01,0,0.269,0,0
2025-12-07T23:29:15,esp32-01,0,0.295,0,0
2025-12-07T23:29:17,esp32-01,0,0.282,0,0
2025-12-07T23:29:19,esp32-01,0,0.282,0,0
2025-12-07T23:29:21,esp32-01,0,0.282,0,0
2025-12-07T23:29:24,esp32-01,0,0.295,0,0
2025-12-07T23:29:26,esp32-01,0,0.295,0,0
2025-12-07T23:29:28,esp32-01,0,0.282,0,0
2025-12-07T23:29:30,esp32-01,0,0.308,0,0
2025-12-07T23:29:32,esp32-01,0,0.295,0,0
2025-12-07T23:29:34,esp32-01,0,0.295,0,0
2025-12-07T23:29:36,esp32-01,0,0.282,0,0
2025-12-07T23:29:38,esp32-01,0,0.295,0,0
2025-12-07T23:29:40,esp32-01,0,0.269,0,0
2025-12-07T23:29:42,esp32-01,0,0.282,0,0
2025-12-07T23:29:45,esp32-01,0,0.295,0,0
2025-12-07T23:29:47,esp32-01,0,0.295,0,0
2025-12-07T23:29:49,esp32-01,0,0.308,0,0
2025-12-07T23:29:51,esp32-01,0,0.282,0,0
2025-12-07T23:29:53,esp32-01,0,0.295,0,0
2025-12-07T23:29:55,esp32-01,0,0.308,0,0
2025-12-07T23:29:57,esp32-01,0,0.282,0,0
2025-12-07T23:29:59,esp32-01,0,0.282,0,0
2025-12-07T23:30:01,esp32-01,0,0.282,0,0
2025-12-07T23:30:03,esp32-01,0,0.282,0,0
2025-12-07T23:30:06,esp32-01,0,0.295,0,0
2025-12-07T23:30:08,esp32-01,0,0.295,0,0
2025-12-07T23:30:10,esp32-01,0,0.321,0,0
2025-12-07T23:30:12,esp32-01,0,0.308,0,0
2025-12-07T23:30:14,esp32-01,0,0.256,0,0
2025-12-07T23:30:16,esp32-01,0,0.282,0,0
2025-12-07T23:30:18,esp32-01,0,0.282,0,0
2025-12-07T23:30:20,esp32-01,0,0.269,0,0
2025-12-07T23:30:22,esp32-01,0,0.321,0,0
2025-12-07T23:30:24,esp32-01,0,0.295,0,0
2025-12-07T23:30:27,esp32-01,0,0.308,0,0
2025-12-07T23:30:29,esp32-01,0,0.308,0,0
2025-12-07T23:30:31,esp32-01,0,0.295,0,0
2025-12-07T23:30:33,esp32-01,0,0.295,0,0
2025-12-07T23:30:35,esp32-01,0,0.321,0,0
2025-12-07T23:30:37,esp32-01,0,0.347,0,0
2025-12-07T23:30:39,esp32-01,0,0.334,0,0
2025-12-07T23:30:41,esp32-01,0,0.308,0,0
2025-12-07T23:30:43,esp32-01,0,0.295,0,0
2025-12-07T23:30:45,esp32-01,0,0.308,0,0
2025-12-07T23:30:48,esp32-01,0,0.308,0,0
2025-12-07T23:30:50,esp32-01,0,0.295,0,0
2025-12-07T23:30:52,esp32-01,0,0.295,0,0
2025-12-07T23:30:54,esp32-01,0,0.282,0,0
2025-12-07T23:30:56,esp32-01,0,0.308,0,0
2025-12-07T23:30:58,esp32-01,0,0.308,0,0
2025-12-07T23:31:00,esp32-01,0,0.295,0,0
2025-12-07T23:31:02,esp32-01,0,0.308,0,0
2025-12-07T23:31:04,esp32-01,0,0.321,0,0
2025-12-07T23:31:06,esp32-01,0,0.295,0,0
2025-12-07T23:31:09,esp32-01,0,0.282,0,0
2025-12-07T23:31:11,esp32-01,0,0.308,0,0
2025-12-07T23:31:13,esp32-01,0,0.295,0,0
2025-12-07T23:31:15,esp32-01,0,0.295,0,0
2025-12-07T23:31:17,esp32-01,0,0.308,0,0
2025-12-07T23:31:19,esp32-01,0,0.295,0,0
2025-12-07T23:31:21,esp32-01,0,0.295,0,0
2025-12-07T23:31:23,esp32-01,0,0.295,0,0
2025-12-07T23:31:25,esp32-01,0,0.321,0,0
2025-12-07T23:31:27,esp32-01,0,0.308,0,0
2025-12-07T23:31:30,esp32-01,0,0.308,0,0
2025-12-07T23:31:32,esp32-01,0,0.282,0,0
2025-12-07T23:31:34,esp32-01,0,0.308,0,0
2025-12-07T23:31:36,esp32-01,0,0.295,0,0
2025-12-07T23:31:38,esp32-01,0,0.295,0,0
2025-12-07T23:31:40,esp32-01,0,0.334,0,0
2025-12-07T23:31:42,esp32-01,0,0.308,0,0
2025-12-07T23:31:44,esp32-01,0,0.295,0,0
2025-12-07T23:31:46,esp32-01,0,0.308,0,0
2025-12-07T23:31:48,esp32-01,0,0.295,0,0
2025-12-07T23:31:51,esp32-01,0,0.282,0,0
2025-12-07T23:31:53,esp32-01,0,0.282,0,0
2025-12-07T23:31:55,esp32-01,0,0.308,0,0
2025-12-07T23:31:57,esp32-01,0,0.295,0,0
2025-12-07T23:31:59,esp32-01,0,0.282,0,0
2025-12-07T23:32:01,esp32-01,0,0.295,0,0
2025-12-07T23:32:03,esp32-01,0,0.308,0,0
2025-12-07T23:32:05,esp32-01,0,0.282,0,0
2025-12-07T23:32:07,esp32-01,0,0.321,0,0
2025-12-07T23:32:10,esp32-01,0,0.282,0,0
2025-12-07T23:32:12,esp32-01,0,0.295,0,0
2025-12-07T23:32:14,esp32-01,0,0.295,0,0
2025-12-07T23:32:16,esp32-01,0,0.282,0,0
2025-12-07T23:32:18,esp32-01,0,0.295,0,0
2025-12-07T23:32:20,esp32-01,0,0.308,0,0
2025-12-07T23:32:22,esp32-01,0,0.321,0,0
2025-12-07T23:32:24,esp32-01,0,0.269,0,0
2025-12-07T23:32:26,esp32-01,0,0.282,0,0
2025-12-07T23:32:28,esp32-01,0,0.282,0,0
2025-12-07T23:32:31,esp32-01,0,0.282,0,0
2025-12-07T23:32:33,esp32-01,0,0.295,0,0
2025-12-07T23:32:35,esp32-01,0,0.269,0,0
2025-12-07T23:32:37,esp32-01,0,0.269,0,0
2025-12-07T23:32:39,esp32-01,0,0.295,0,0
2025-12-07T23:32:41,esp32-01,0,0.295,0,0
2025-12-07T23:32:43,esp32-01,0,0.282,0,0
2025-12-07T23:32:45,esp32-01,0,0.282,0,0
2025-12-07T23:32:47,esp32-01,0,0.295,0,0
2025-12-07T23:32:49,esp32-01,0,0.295,0,0
2025-12-07T23:32:52,esp32-01,0,0.295,0,0
2025-12-07T23:32:54,esp32-01,0,0.295,0,0
2025-12-07T23:32:56,esp32-01,0,0.269,0,0
2025-12-07T23:32:58,esp32-01,0,0.321,0,0
2025-12-07T23:33:00,esp32-01,0,0.295,0,0
2025-12-07T23:33:02,esp32-01,0,0.282,0,0
2025-12-07T23:33:04,esp32-01,0,0.295,0,0
2025-12-07T23:33:06,esp32-01,0,0.269,0,0
2025-12-07T23:33:08,esp32-01,0,0.282,0,0
2025-12-07T23:33:10,esp32-01,0,0.295,0,0
2025-12-07T23:33:13,esp32-01,0,0.282,0,0
2025-12-07T23:33:15,esp32-01,0,0.321,0,0
2025-12-07T23:33:17,esp32-01,0,0.282,0,0
2025-12-07T23:33:19,esp32-01,0,0.295,0,0
2025-12-07T23:33:21,esp32-01,0,0.295,0,0
2025-12-07T23:33:23,esp32-01,0,0.308,0,0
2025-12-07T23:33:25,esp32-01,0,0.295,0,0
2025-12-07T23:33:27,esp32-01,0,0.295,0,0
2025-12-07T23:33:29,esp32-01,1.286,0.282,0.362,4095
2025-12-07T23:33:31,esp32-01,1.259,0.269,0.338,4095
2025-12-07T23:33:34,esp32-01,0,0.282,0,0
2025-12-07T23:33:36,esp32-01,0,0.282,0,0
2025-12-07T23:33:38,esp32-01,0,0.269,0,0
2025-12-07T23:33:40,esp32-01,0,0.282,0,0
2025-12-07T23:33:42,esp32-01,0,0.282,0,0
2025-12-07T23:33:44,esp32-01,0,0.282,0,0
2025-12-07T23:33:46,esp32-01,0,0.282,0,0
2025-12-07T23:33:48,esp32-01,0,0.282,0,0
2025-12-07T23:33:50,esp32-01,0,0.282,0,0
2025-12-07T23:33:52,esp32-01,0,0.282,0,0
2025-12-07T23:33:55,esp32-01,0,0.282,0,0
2025-12-07T23:33:57,esp32-01,0,0.295,0,0
2025-12-07T23:33:59,esp32-01,0,0.308,0,0
2025-12-07T23:34:01,esp32-01,0,0.295,0,0
2025-12-07T23:34:03,esp32-01,0,0.295,0,0
2025-12-07T23:34:05,esp32-01,0,0.295,0,0
2025-12-07T23:34:07,esp32-01,0,0.282,0,0
2025-12-07T23:34:09,esp32-01,0,0.295,0,0
2025-12-07T23:34:11,esp32-01,0,0.269,0,0
2025-12-07T23:34:13,esp32-01,0,0.295,0,0
2025-12-07T23:34:16,esp32-01,0,0.282,0,0
